date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
25-06-17,10593007.03,3576,223596000,38.81,2068440,6516.278283,22.43490527
26-06-17,2320091.56,2278,200625000,35.26,3233030,7305.378243,12.69939561
27-06-17,10362860.23,3660,183242000,36.26,2134180,7052.270709,21.84154912
28-06-17,2901842.036,2593,190554000,36.09,1453690,6883.532352,13.58525537
29-06-17,9774788.956,4332,187711000,34.2,1066580,7717.298348,44.42557654
30-06-17,1892442.949,2440,178839000,32.26,1922690,7618.040491,14.88523675
01-07-17,8996987.756,3115,169093000,29.21,2355220,6426.946212,16.82744376
02-07-17,1978241.536,2036,153510000,29.8,1261070,6297.910999,11.26138867
03-07-17,7959740.289,3325,155746000,31.86,1183960,8356.57791,17.81779707
04-07-17,2358696.626,2323,166912000,36.26,1909980,6692.534686,12.32920155
05-07-17,6665776.469,2780,190855000,37.33,3216940,6574.604559,16.07116679
06-07-17,5796327.308,2987,196079000,35.16,905811,7724.423294,14.42363949
07-07-17,4385778.212,2715,185385000,29.89,1441280,6879.257386,15.98632377
08-07-17,6153429.536,2899,157260000,36.88,2927310,6952.963716,15.51872992
09-07-17,5193782.81,2785,193186000,33.11,2005270,6618.828357,13.78374685
10-07-17,3908291.455,2896,175724000,24.58,2196480,7341.150382,15.10426283
11-07-17,7132287.182,3184,130152000,25.44,2338340,6903.826163,16.4344815
12-07-17,4329265.873,2837,134895000,28.19,1542700,6795.723547,14.42259666
13-07-17,4477098.57,2971,150033000,25.67,806704,7434.511732,13.27194271
14-07-17,3563940.499,2667,136178000,22.55,1280400,6132.366584,14.30422831
15-07-17,2807767.622,2927,119067000,20.21,788266,6771.15477,12.20811865
16-07-17,4880968.144,3197,106193000,19.13,884628,7508.218062,8.82076938
17-07-17,3961040.195,3280,100370000,24.42,1098540,6810.464812,9.12891893
18-07-17,6696062.317,3514,131571000,24.72,1384330,7527.873083,14.22683133
19-07-17,7263037.081,3467,133317000,23.3,813883,6938.22245,13.5922598
20-07-17,10135915.78,3266,123563000,26.85,1274350,6245.382956,12.41403559
21-07-17,4893053.713,3554,143707000,26.87,720384,7311.667851,13.73650289
22-07-17,4839917.345,3338,143869000,30.02,1070060,7626.148188,11.61068966
23-07-17,4205313.191,3003,161983000,28.48,828897,6839.947344,11.22903867
24-07-17,4491991.147,3236,151585000,28.41,853258,7436.944285,12.78802243
25-07-17,3813715.762,2926,152478000,25.9,1679880,6587.351133,11.78785168
